,precision,recall,f1-score,support
Non-Stress,0.7409638554216867,0.7130434782608696,0.7267355982274741,345.0
Stress,0.7394736842105263,0.7656675749318801,0.7523427041499331,367.0
accuracy,0.7401685393258427,0.7401685393258427,0.7401685393258427,0.7401685393258427
macro avg,0.7402187698161065,0.7393555265963748,0.7395391511887036,712.0
weighted avg,0.7401957475080689,0.7401685393258427,0.7399347665891911,712.0
